Peter Parker,289
New York,119
Green Goblin,95
Tobey Maguire,84
Mary Jane,75
Captain America,65
Andrew Garfield,57
Norman Osborn,57
Gwen Stacy,53
Civil War,51
Sam Raimi,47
Sony Pictures,32
Box Office Mojo,30
Trending News,29
J. Jonah Jameson,28
Kirsten Dunst,28
Tom Holland,28
Harry Osborn,25
Ben Parker,24
Marc Webb,24
